"","sp","x","y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"425","coffini",-88.3667,13.2333,26.2320003509521,9.62066745758057,77.8371124267578,76.6515731811523,32.3520011901855,19.992000579834,12.3600006103516,25.8633346557617,25.6420001983643,27.3133335113525,25.4479999542236,1877,393,0,98.7051773071289,1009,8,223,393
"426","coffini",-88.0667,13.3167,26.7448329925537,9.79433250427246,77.9307403564453,83.325439453125,33.1359977722168,20.568000793457,12.5679969787598,26.3366661071777,26.1019992828369,27.8706665039062,25.8186664581299,1826,400,2,98.7296981811523,983,9,243,370
"427","coffini",-88.0667,13.4167,26.7536659240723,11.5480003356934,75.9536895751953,97.7377243041992,34.6840019226074,19.4799995422363,15.2040023803711,26.1133346557617,27.0233325958252,28.1420001983643,25.6499996185303,1748,381,2,97.4999313354492,930,11,234,347
"428","coffini",-85.6336,13.948,23.4076671600342,9.85400009155273,70.5469741821289,117.025588989258,30.431999206543,16.4640007019043,13.9679985046387,24.0073337554932,23.3913326263428,24.7453327178955,21.8013343811035,1807,285,31,61.643798828125,799,119,456,223
"429","coffini",-88.8167,14.2833,20.5340003967285,10.1860008239746,69.4815826416016,118.093353271484,28.1720008850098,13.5120000839233,14.6600008010864,21.1206665039062,19.0766677856445,21.8766670227051,18.982666015625,1515,286,5,90.4065856933594,754,29,249,54
"430","coffini",-90.95,14.3082,25.9253330230713,10.5160007476807,77.2099914550781,61.2467651367188,32.3079986572266,18.6879997253418,13.6199989318848,25.931999206543,25.1800003051758,26.6053333282471,25.1240005493164,3162,613,13,85.9894485473633,1488,67,500,178
"431","coffini",-90.9833,14.4667,21.0303325653076,10.6913328170776,82.4185333251953,55.474796295166,27.2520008087158,14.2799997329712,12.9720010757446,21.3120002746582,20.3640003204346,21.5906658172607,20.3146667480469,2517,537,11,91.1546630859375,1209,55,364,114
"432","coffini",-88.6167,14.7,23.5801658630371,11.5476665496826,69.1642761230469,145.671249389648,32.5519981384277,15.8559999465942,16.6959991455078,24.3439998626709,22.8066673278809,25.2453327178955,21.6520004272461,1288,240,14,77.8329391479492,584,57,415,129
"433","coffini",-85.5284,14.8328,24.4284992218018,10.1196670532227,70.1390762329102,130.034576416016,31.6720008850098,17.2439994812012,14.4280014038086,25.1446666717529,24.474666595459,25.8966674804688,22.6333332061768,1738,258,43,52.1887359619141,729,150,436,266
"434","coffini",-92.1534,14.9961,25.5764999389648,12.4469995498657,80.78271484375,58.0885238647461,33.015998840332,17.6079998016357,15.4079990386963,25.4846668243408,24.8839988708496,26.3239994049072,24.8839988708496,3691,654,20,78.8828659057617,1728,91,669,91
